xpos	ypos	fdur	subj	trial	fixation
10.89	16.03	227	1	25	1
16.105	15.79	282	1	25	2
19.19	11.81	268	1	25	3
14.505	13.25	681	1	25	4
8.96	12.055	330	1	25	5
12.08	6.005	426	1	25	6
7.435	5.25	473	1	25	7
6.54	4.685	150	1	25	8
3.605	10.67	104	1	25	9
6.195	20.55	191	1	25	10
24.415	22.25	299	1	25	11
28.515	18.22	288	1	25	12
27.085	12.23	253	1	25	13
23.83	13.935	341	1	25	14
19.455	12.92	256	1	25	15
9.625	16.59	298	1	25	16
7.72	21.19	507	1	25	17
9.975	21.135	242	1	25	18
5.895	13.565	442	1	25	19
2.775	12.125	276	1	25	20
1.345	4.1	115	1	25	21
3.74	14.86	560	1	25	22
6.08	15.175	244	1	25	23
6.04	21.805	427	1	25	24
11.645	22.13	277	1	25	25
19.835	21.645	295	1	25	26
24.675	14.385	362	1	25	27
23.73	16.12	287	1	25	28
18.73	13.89	89	1	25	29
9.08	13.745	168	2	9	1
13.77	16.95	329	2	9	2
12.585	9.485	469	2	9	3
9.7	12.465	638	2	9	4
9.305	17.325	317	2	9	5
10.49	19.125	312	2	9	6
15.05	17	517	2	9	7
20.795	12.47	385	2	9	8
22.165	7.51	382	2	9	9
18.56	5.455	455	2	9	10
23.725	5.68	880	2	9	11
25.5	6.28	1623	2	9	12
24.9	5.925	530	2	9	13
24.47	5.48	2652	2	9	14
12.345	19.555	188	3	11	1
12.755	16.38	128	3	11	2
17.765	10.11	209	3	11	3
22.585	7.15	273	3	11	4
22.57	12.525	45	3	11	5
24.36	20.67	221	3	11	6
13.865	15.025	137	3	11	7
7.75	10.245	212	3	11	8
6.845	7.585	260	3	11	9
15.31	4.24	303	3	11	10
12.545	4.845	164	3	11	11
9.515	3.7	198	3	11	12
9.55	8.145	135	3	11	13
9.425	17.31	308	3	11	14
14.79	16.69	218	3	11	15
18.07	15.285	218	3	11	16
22.54	8.64	165	3	11	17
25.55	4.905	281	3	11	18
23.505	7.86	198	3	11	19
22.505	14.425	149	3	11	20
23.255	21.06	172	3	11	21
24.42	22.94	175	3	11	22
25.695	25.29	284	3	11	23
10.4	17.695	134	3	11	24
5.745	11.58	211	3	11	25
4.05	7.905	185	3	11	26
8.31	10.62	179	3	11	27
16.025	11.345	255	3	11	28
16.675	13.17	265	3	11	29
20.075	10.715	155	3	11	30
19.48	14.015	417	3	11	31
9.165	12.645	211	3	11	32
5.29	13.04	233	3	11	33
4.415	15.345	347	3	11	34
12.985	7.22	292	3	11	35
10.54	3.79	192	3	11	36
13.745	3.42	180	3	11	37
21.53	5.12	239	3	11	38
24.265	7.365	226	3	11	39
22.875	10.62	166	3	11	40
22.955	16.43	250	3	11	41
24.925	17.905	64	3	11	42
9.015	21.77	128	4	36	1
13.66	15.625	190	4	36	2
19.605	12.27	153	4	36	3
24.2	5.945	337	4	36	4
18.86	18.995	337	4	36	5
16.61	13.26	349	4	36	6
15.35	20.25	228	4	36	7
